"sex","variable","value"
"Male","weight",98.2
"Male","bmi",29
"Male","height",170
"Male","weight",89.7
"Male","bmi",31
"Male","height",177
"Male","weight",87.3
"Male","bmi",27.9
"Male","height",165
"Male","weight",79.3
"Male","bmi",29.1
"Male","height",176
"Male","weight",85.8
"Male","bmi",27.7
"Male","height",171
"Male","weight",85.3
"Male","bmi",29.2
"Male","height",178
"Male","weight",87.5
"Male","bmi",27.6
"Male","height",171
"Male","weight",84.8
"Male","bmi",29
"Male","height",176
"Male","weight",88.7
"Male","bmi",28.6
"Male","height",180
"Male","weight",83.9
"Male","bmi",25.9
"Male","height",165
"Male","weight",68.3
"Male","bmi",25.1
"Male","height",174
"Male","weight",85.5
"Male","bmi",28.2
"Male","height",169
"Male","weight",87.8
"Male","bmi",30.7
"Male","height",181
"Male","weight",91.9
"Male","bmi",28.1
"Male","height",179
"Male","weight",84.6
"Male","bmi",26.4
"Male","height",172
"Male","weight",85.5
"Male","bmi",28.9
"Male","height",175
"Male","weight",89.6
"Male","bmi",29.3
"Male","height",185
"Male","weight",99.7
"Male","bmi",29.1
"Male","height",201
"Male","weight",122.5
"Male","bmi",30.3
"Male","height",171
"Male","weight",80
"Male","bmi",27.4
"Male","height",170
"Male","weight",75.4
"Male","bmi",26.1
"Male","height",170
"Male","weight",72.6
"Male","bmi",25.1
"Male","height",188
"Male","weight",103.4
"Male","bmi",29.3
"Male","height",166
"Male","weight",70.2
"Male","bmi",25.5
"Male","height",172
"Male","weight",75.8
"Male","bmi",25.6
"Male","height",172
"Male","weight",77.2
"Male","bmi",26.1
"Male","height",176
"Male","weight",80.6
"Male","bmi",26
"Male","height",176
"Male","weight",80.9
"Male","bmi",26.1
"Male","height",165
"Male","weight",68.5
"Male","bmi",25.2
"Male","height",173
"Male","weight",79.6
"Male","bmi",26.6
"Male","height",184
"Male","weight",88.5
"Male","bmi",26.1
"Male","height",178
"Male","weight",92.1
"Male","bmi",29.1
"Male","height",173
"Male","weight",69.2
"Male","bmi",23.1
"Male","height",170
"Male","weight",85.5
"Male","bmi",29.6
"Male","height",186
"Male","weight",96.8
"Male","bmi",28
"Male","height",179
"Male","weight",88.4
"Male","bmi",27.6
"Male","height",176
"Male","weight",80.6
"Male","bmi",26
"Male","height",188
"Male","weight",98.7
"Male","bmi",27.9
"Male","height",176
"Male","weight",90.2
"Male","bmi",29.1
"Male","height",176
"Male","weight",83.1
"Male","bmi",26.8
"Male","height",182
"Male","weight",99
"Male","bmi",29.9
"Male","height",184
"Male","weight",94.1
"Male","bmi",27.8
"Male","height",172
"Male","weight",79
"Male","bmi",26.7
"Male","height",172
"Male","weight",82.6
"Male","bmi",27.9
"Male","height",180
"Male","weight",97.3
"Male","bmi",30
"Male","height",174
"Male","weight",76.9
"Male","bmi",25.4
"Male","height",175
"Male","weight",86.9
"Male","bmi",28.4
"Male","height",181
"Male","weight",91.1
"Male","bmi",27.8
"Male","height",171
"Male","weight",79.3
"Male","bmi",27.1
"Male","height",170
"Male","weight",76.8
"Male","bmi",26.6
"Male","height",168
"Male","weight",77.8
"Male","bmi",27.6
"Male","height",170
"Male","weight",76.4
"Male","bmi",26.4
"Male","height",174
"Male","weight",81.2
"Male","bmi",26.8
"Male","height",163
"Male","weight",71.8
"Male","bmi",27
"Male","height",169
"Male","weight",76.9
"Male","bmi",26.9
"Male","height",167
"Male","weight",76.1
"Male","bmi",27.3
"Male","height",176
"Male","weight",85.7
"Male","bmi",27.7
"Male","height",187
"Male","weight",96.6
"Male","bmi",27.6
"Male","height",166
"Male","weight",66.8
"Male","bmi",24.2
"Male","height",179
"Male","weight",97.2
"Male","bmi",30.3
"Male","height",177
"Male","weight",88.9
"Male","bmi",28.4
"Male","height",180
"Male","weight",90.5
"Male","bmi",27.9
"Male","height",173
"Male","weight",83.3
"Male","bmi",27.8
"Male","height",183
"Male","weight",96.1
"Male","bmi",28.7
"Male","height",181
"Male","weight",79.6
"Male","bmi",24.3
"Male","height",170
"Male","weight",82.3
"Male","bmi",28.5
"Male","height",173
"Male","weight",77
"Male","bmi",25.7
"Male","height",173
"Male","weight",88.4
"Male","bmi",29.5
"Male","height",170
"Male","weight",84.8
"Male","bmi",29.3
"Male","height",179
"Male","weight",93.8
"Male","bmi",29.3
"Male","height",187
"Male","weight",99.5
"Male","bmi",28.5
"Male","height",167
"Male","weight",70.3
"Male","bmi",25.2
"Male","height",179
"Male","weight",81.9
"Male","bmi",25.6
"Male","height",173
"Male","weight",85
"Male","bmi",28.4
"Male","height",197
"Male","weight",114.6
"Male","bmi",29.5
"Male","height",184
"Male","weight",95
"Male","bmi",28.1
"Male","height",166
"Male","weight",80.9
"Male","bmi",29.4
"Male","height",167
"Male","weight",76.3
"Male","bmi",27.4
"Male","height",192
"Male","weight",109.4
"Male","bmi",29.7
"Male","height",177
"Male","weight",88.5
"Male","bmi",28.2
"Male","height",177
"Male","weight",93.1
"Male","bmi",29.7
"Male","height",175
"Male","weight",80.6
"Male","bmi",26.3
"Male","height",175
"Male","weight",94.6
"Male","bmi",30.9
"Male","height",174
"Male","weight",83.6
"Male","bmi",27.6
"Male","height",179
"Male","weight",84
"Male","bmi",26.2
"Male","height",172
"Male","weight",76.8
"Male","bmi",26
"Male","height",182
"Male","weight",88.1
"Male","bmi",26.6
"Male","height",172
"Male","weight",75.4
"Male","bmi",25.5
"Male","height",179
"Male","weight",85.8
"Male","bmi",26.8
"Male","height",180
"Male","weight",89.8
"Male","bmi",27.7
"Male","height",176
"Male","weight",86.5
"Male","bmi",27.9
"Male","height",188
"Male","weight",95.8
"Male","bmi",27.1
"Male","height",176
"Male","weight",87.4
"Male","bmi",28.2
"Male","height",184
"Male","weight",93
"Male","bmi",27.5
"Male","height",176
"Male","weight",81.8
"Male","bmi",26.4
"Male","height",163
"Male","weight",73.2
"Male","bmi",27.6
"Male","height",159
"Male","weight",73.7
"Male","bmi",29.2
"Male","height",168
"Male","weight",71.1
"Male","bmi",25.2
"Male","height",163
"Male","weight",61.3
"Male","bmi",23.1
"Male","height",183
"Male","weight",95.5
"Male","bmi",28.5
"Male","height",178
"Male","weight",92
"Male","bmi",29
"Male","height",167
"Male","weight",76.4
"Male","bmi",27.4
"Male","height",191
"Male","weight",103.2
"Male","bmi",28.3
"Male","height",187
"Male","weight",101.2
"Male","bmi",28.9
"Male","height",169
"Male","weight",79.3
"Male","bmi",27.8
"Male","height",171
"Male","weight",87.7
"Male","bmi",30
"Male","height",173
"Male","weight",85.3
"Male","bmi",28.5
"Male","height",163
"Male","weight",69.3
"Male","bmi",26.1
"Male","height",178
"Male","weight",85.8
"Male","bmi",27.1
"Male","height",177
"Male","weight",78.9
"Male","bmi",25.2
"Male","height",182
"Male","weight",92.8
"Male","bmi",28
"Male","height",173
"Male","weight",82.6
"Male","bmi",27.6
"Male","height",189
"Male","weight",95.6
"Male","bmi",26.8
"Male","height",184
"Male","weight",94.4
"Male","bmi",27.9
"Male","height",185
"Male","weight",91.5
"Male","bmi",26.7
"Male","height",183
"Male","weight",94.7
"Male","bmi",28.3
"Male","height",176
"Male","weight",86.2
"Male","bmi",27.8
"Male","height",171
"Male","weight",80.5
"Male","bmi",27.5
"Male","height",171
"Male","weight",81.2
"Male","bmi",27.8
"Male","height",178
"Male","weight",75.9
"Male","bmi",24
"Male","height",163
"Male","weight",79.7
"Male","bmi",30
"Male","height",177
"Male","weight",88.8
"Male","bmi",28.3
"Male","height",163
"Male","weight",70.3
"Male","bmi",26.5
"Male","height",169
"Male","weight",84.1
"Male","bmi",29.4
"Male","height",184
"Male","weight",91.5
"Male","bmi",27
"Male","height",177
"Male","weight",96
"Male","bmi",30.6
"Male","height",172
"Male","weight",75.4
"Male","bmi",25.5
"Male","height",174
"Male","weight",85.7
"Male","bmi",28.3
"Male","height",183
"Male","weight",90.9
"Male","bmi",27.1
"Male","height",178
"Male","weight",87.5
"Male","bmi",27.6
"Male","height",181
"Male","weight",93.2
"Male","bmi",28.4
"Male","height",181
"Male","weight",91.6
"Male","bmi",28
"Male","height",176
"Male","weight",89
"Male","bmi",28.7
"Male","height",178
"Male","weight",87.4
"Male","bmi",27.6
"Male","height",171
"Male","weight",79.4
"Male","bmi",27.2
"Male","height",180
"Male","weight",91.2
"Male","bmi",28.1
"Male","height",169
"Male","weight",75.5
"Male","bmi",26.4
"Male","height",171
"Male","weight",80.4
"Male","bmi",27.5
"Male","height",173
"Male","weight",78.1
"Male","bmi",26.1
"Male","height",173
"Male","weight",81.1
"Male","bmi",27.1
"Male","height",172
"Male","weight",83.3
"Male","bmi",28.2
"Male","height",169
"Male","weight",76.6
"Male","bmi",26.8
"Male","height",194
"Male","weight",104.3
"Male","bmi",27.7
"Male","height",175
"Male","weight",85.1
"Male","bmi",27.8
"Male","height",184
"Male","weight",89.2
"Male","bmi",26.3
"Male","height",173
"Male","weight",92.2
"Male","bmi",30.8
"Male","height",169
"Male","weight",82.5
"Male","bmi",28.9
"Male","height",180
"Male","weight",84.3
"Male","bmi",26
"Male","height",182
"Male","weight",86.4
"Male","bmi",26.1
"Male","height",182
"Male","weight",94.3
"Male","bmi",28.5
"Male","height",171
"Male","weight",82.2
"Male","bmi",28.1
"Male","height",177
"Male","weight",91
"Male","bmi",29
"Male","height",180
"Male","weight",85.6
"Male","bmi",26.4
"Male","height",172
"Male","weight",67.8
"Male","bmi",22.9
"Male","height",181
"Male","weight",93.2
"Male","bmi",28.4
"Male","height",177
"Male","weight",97.3
"Male","bmi",31.1
"Male","height",186
"Male","weight",98.3
"Male","bmi",28.4
"Male","height",187
"Male","weight",101.3
"Male","bmi",29
"Male","height",176
"Male","weight",84.9
"Male","bmi",27.4
"Male","height",182
"Male","weight",100.6
"Male","bmi",30.4
"Male","height",172
"Male","weight",76.6
"Male","bmi",25.9
"Male","height",172
"Male","weight",81.3
"Male","bmi",27.5
"Male","height",174
"Male","weight",82.6
"Male","bmi",27.3
"Male","height",181
"Male","weight",94.5
"Male","bmi",28.8
"Male","height",173
"Male","weight",94.2
"Male","bmi",31.5
"Male","height",171
"Male","weight",78.6
"Male","bmi",26.9
"Male","height",178
"Male","weight",96.2
"Male","bmi",30.4
"Male","height",174
"Male","weight",85.2
"Male","bmi",28.1
"Male","height",169
"Male","weight",72
"Male","bmi",25.2
"Male","height",174
"Male","weight",84.3
"Male","bmi",27.8
"Male","height",188
"Male","weight",91
"Male","bmi",25.7
"Male","height",186
"Male","weight",101.1
"Male","bmi",29.2
"Male","height",184
"Male","weight",94.6
"Male","bmi",27.9
"Male","height",172
"Male","weight",87.8
"Male","bmi",29.7
"Male","height",178
"Male","weight",92.6
"Male","bmi",29.2
"Male","height",166
"Male","weight",74
"Male","bmi",26.9
"Male","height",173
"Male","weight",89.4
"Male","bmi",29.9
"Male","height",176
"Male","weight",93.8
"Male","bmi",30.3
"Male","height",178
"Male","weight",89.7
"Male","bmi",28.3
"Male","height",175
"Male","weight",79.1
"Male","bmi",25.8
"Male","height",176
"Male","weight",79.8
"Male","bmi",25.8
"Male","height",170
"Male","weight",80.1
"Male","bmi",27.7
"Male","height",176
"Male","weight",88.4
"Male","bmi",28.5
"Male","height",181
"Male","weight",95.1
"Male","bmi",29
"Male","height",179
"Male","weight",85.2
"Male","bmi",26.6
"Male","height",183
"Male","weight",99.5
"Male","bmi",29.7
"Male","height",176
"Male","weight",79.9
"Male","bmi",25.8
"Male","height",169
"Male","weight",74.4
"Male","bmi",26
"Male","height",173
"Male","weight",80.3
"Male","bmi",26.8
"Male","height",161
"Male","weight",70.8
"Male","bmi",27.3
"Male","height",171
"Male","weight",80.3
"Male","bmi",27.5
"Male","height",179
"Male","weight",86.8
"Male","bmi",27.1
"Male","height",174
"Male","weight",83.6
"Male","bmi",27.6
"Male","height",171
"Male","weight",77.1
"Male","bmi",26.4
"Male","height",177
"Male","weight",79
"Male","bmi",25.2
"Male","height",152
"Male","weight",64.2
"Male","bmi",27.8
"Male","height",173
"Male","weight",72.6
"Male","bmi",24.3
"Male","height",172
"Male","weight",87.9
"Male","bmi",29.7
"Male","height",177
"Male","weight",98.3
"Male","bmi",31.4
"Male","height",171
"Male","weight",86
"Male","bmi",29.4
"Male","height",171
"Male","weight",82.4
"Male","bmi",28.2
"Male","height",181
"Male","weight",93.4
"Male","bmi",28.5
"Male","height",174
"Male","weight",84.7
"Male","bmi",28
"Male","height",161
"Male","weight",69
"Male","bmi",26.6
"Male","height",183
"Male","weight",90
"Male","bmi",26.9
"Male","height",178
"Male","weight",84.3
"Male","bmi",26.6
"Male","height",164
"Male","weight",75.6
"Male","bmi",28.1
"Male","height",182
"Male","weight",87.4
"Male","bmi",26.4
"Male","height",177
"Male","weight",91.2
"Male","bmi",29.1
"Male","height",178
"Male","weight",85.6
"Male","bmi",27
"Male","height",184
"Male","weight",85.1
"Male","bmi",25.1
"Male","height",182
"Male","weight",92.7
"Male","bmi",28
"Male","height",170
"Male","weight",86.4
"Male","bmi",29.9
"Male","height",173
"Male","weight",89.3
"Male","bmi",29.8
"Male","height",170
"Male","weight",79.6
"Male","bmi",27.5
"Male","height",167
"Male","weight",80.8
"Male","bmi",29
"Male","height",176
"Male","weight",81.2
"Male","bmi",26.2
"Male","height",181
"Male","weight",92.2
"Male","bmi",28.1
"Male","height",173
"Male","weight",79.1
"Male","bmi",26.4
"Male","height",176
"Male","weight",93.8
"Male","bmi",30.3
"Male","height",173
"Male","weight",82.2
"Male","bmi",27.5
"Male","height",161
"Male","weight",75.2
"Male","bmi",29
"Male","height",171
"Male","weight",79.9
"Male","bmi",27.3
"Male","height",167
"Male","weight",72.8
"Male","bmi",26.1
"Male","height",183
"Male","weight",92.2
"Male","bmi",27.5
"Male","height",165
"Male","weight",75.1
"Male","bmi",27.6
"Male","height",182
"Male","weight",92.4
"Male","bmi",27.9
"Male","height",167
"Male","weight",78.5
"Male","bmi",28.1
"Male","height",185
"Male","weight",98
"Male","bmi",28.6
"Male","height",178
"Male","weight",84.3
"Male","bmi",26.6
"Male","height",167
"Male","weight",73.7
"Male","bmi",26.4
"Male","height",171
"Male","weight",81.1
"Male","bmi",27.7
"Male","height",165
"Male","weight",75.6
"Male","bmi",27.8
"Male","height",177
"Male","weight",78.9
"Male","bmi",25.2
"Male","height",172
"Male","weight",82.6
"Male","bmi",27.9
"Male","height",183
"Male","weight",96.6
"Male","bmi",28.8
"Male","height",169
"Male","weight",79.3
"Male","bmi",27.8
"Male","height",173
"Male","weight",84.6
"Male","bmi",28.3
"Male","height",165
"Male","weight",75
"Male","bmi",27.5
"Male","height",186
"Male","weight",93.8
"Male","bmi",27.1
"Male","height",169
"Male","weight",78.4
"Male","bmi",27.5
"Male","height",170
"Male","weight",83
"Male","bmi",28.7
"Male","height",177
"Male","weight",83.6
"Male","bmi",26.7
"Male","height",176
"Male","weight",83.2
"Male","bmi",26.9
"Male","height",166
"Male","weight",79.2
"Male","bmi",28.7
"Male","height",164
"Male","weight",68.3
"Male","bmi",25.4
"Male","height",175
"Male","weight",83.4
"Male","bmi",27.2
"Male","height",160
"Male","weight",69.9
"Male","bmi",27.3
"Male","height",173
"Male","weight",84.5
"Male","bmi",28.2
"Male","height",172
"Male","weight",81.7
"Male","bmi",27.6
"Male","height",166
"Male","weight",70.9
"Male","bmi",25.7
"Male","height",177
"Male","weight",77
"Male","bmi",24.6
"Male","height",190
"Male","weight",107.2
"Male","bmi",29.7
"Male","height",172
"Male","weight",77
"Male","bmi",26
"Male","height",179
"Male","weight",85.6
"Male","bmi",26.7
"Male","height",164
"Male","weight",72.3
"Male","bmi",26.9
"Male","height",189
"Male","weight",96.5
"Male","bmi",27
"Male","height",165
"Male","weight",75.2
"Male","bmi",27.6
"Male","height",181
"Male","weight",85.8
"Male","bmi",26.2
"Male","height",182
"Male","weight",83.9
"Male","bmi",25.3
"Male","height",170
"Male","weight",86.4
"Male","bmi",29.9
"Male","height",176
"Male","weight",82.5
"Male","bmi",26.6
"Male","height",174
"Male","weight",82.2
"Male","bmi",27.2
"Male","height",184
"Male","weight",100.3
"Male","bmi",29.6
"Male","height",173
"Male","weight",84.7
"Male","bmi",28.3
"Male","height",181
"Male","weight",86.8
"Male","bmi",26.5
"Male","height",174
"Male","weight",83.3
"Male","bmi",27.5
"Male","height",179
"Male","weight",96.6
"Male","bmi",30.1
"Male","height",175
"Male","weight",83.3
"Male","bmi",27.2
"Male","height",173
"Male","weight",84.5
"Male","bmi",28.2
"Male","height",181
"Male","weight",90.9
"Male","bmi",27.7
"Male","height",179
"Male","weight",90.3
"Male","bmi",28.2
"Male","height",158
"Male","weight",66.1
"Male","bmi",26.5
"Male","height",176
"Male","weight",81.1
"Male","bmi",26.2
"Male","height",163
"Male","weight",71.7
"Male","bmi",27
"Male","height",177
"Male","weight",87.4
"Male","bmi",27.9
"Male","height",187
"Male","weight",97.9
"Male","bmi",28
"Male","height",186
"Male","weight",94.9
"Male","bmi",27.4
"Male","height",168
"Male","weight",79
"Male","bmi",28
"Male","height",183
"Male","weight",90
"Male","bmi",26.9
"Male","height",174
"Male","weight",85
"Male","bmi",28.1
"Male","height",169
"Male","weight",75.6
"Male","bmi",26.5
"Male","height",179
"Male","weight",87.4
"Male","bmi",27.3
"Male","height",179
"Male","weight",86.6
"Male","bmi",27
"Male","height",187
"Male","weight",95.2
"Male","bmi",27.2
"Male","height",163
"Male","weight",79.4
"Male","bmi",29.9
"Male","height",172
"Male","weight",82.6
"Male","bmi",27.9
"Male","height",182
"Male","weight",91.7
"Male","bmi",27.7
"Male","height",175
"Male","weight",87.4
"Male","bmi",28.5
"Male","height",173
"Male","weight",79.9
"Male","bmi",26.7
"Male","height",162
"Male","weight",73
"Male","bmi",27.8
"Male","height",170
"Male","weight",86.7
"Male","bmi",30
"Male","height",175
"Male","weight",85.1
"Male","bmi",27.8
"Male","height",172
"Male","weight",71.8
"Male","bmi",24.3
"Male","height",161
"Male","weight",65
"Male","bmi",25.1
"Male","height",171
"Male","weight",84.7
"Male","bmi",29
"Male","height",163
"Male","weight",75.6
"Male","bmi",28.5
"Male","height",188
"Male","weight",98.8
"Male","bmi",28
"Male","height",181
"Male","weight",90.2
"Male","bmi",27.5
"Male","height",179
"Male","weight",93.6
"Male","bmi",29.2
"Male","height",177
"Male","weight",85
"Male","bmi",27.1
"Male","height",158
"Male","weight",63.1
"Male","bmi",25.3
"Male","height",181
"Male","weight",94.9
"Male","bmi",29
"Male","height",180
"Male","weight",90.5
"Male","bmi",27.9
"Male","height",162
"Male","weight",71
"Male","bmi",27.1
"Male","height",169
"Male","weight",81.3
"Male","bmi",28.5
"Male","height",170
"Male","weight",77
"Male","bmi",26.6
"Male","height",185
"Male","weight",86.3
"Male","bmi",25.2
"Male","height",161
"Male","weight",64
"Male","bmi",24.7
"Male","height",181
"Male","weight",83.9
"Male","bmi",25.6
"Male","height",164
"Male","weight",71.4
"Male","bmi",26.5
"Male","height",169
"Male","weight",80.4
"Male","bmi",28.2
"Male","height",171
"Male","weight",76.6
"Male","bmi",26.2
"Male","height",181
"Male","weight",93.1
"Male","bmi",28.4
"Male","height",169
"Male","weight",77.6
"Male","bmi",27.2
"Male","height",182
"Male","weight",91.7
"Male","bmi",27.7
"Male","height",173
"Male","weight",83.6
"Male","bmi",27.9
"Male","height",172
"Male","weight",82
"Male","bmi",27.7
"Male","height",173
"Male","weight",73.5
"Male","bmi",24.6
"Male","height",165
"Male","weight",74.9
"Male","bmi",27.5
"Male","height",174
"Male","weight",85
"Male","bmi",28.1
"Male","height",173
"Male","weight",81.1
"Male","bmi",27.1
"Male","height",195
"Male","weight",103.1
"Male","bmi",27.1
"Male","height",167
"Male","weight",74
"Male","bmi",26.5
"Male","height",179
"Male","weight",84
"Male","bmi",26.2
"Male","height",174
"Male","weight",84.4
"Male","bmi",27.9
"Male","height",177
"Male","weight",85.2
"Male","bmi",27.2
"Male","height",182
"Male","weight",87.5
"Male","bmi",26.4
"Male","height",156
"Male","weight",69.6
"Male","bmi",28.6
"Male","height",178
"Male","weight",89.5
"Male","bmi",28.2
"Male","height",193
"Male","weight",104.9
"Male","bmi",28.2
"Male","height",167
"Male","weight",66.2
"Male","bmi",23.7
"Male","height",171
"Male","weight",90.2
"Male","bmi",30.8
"Male","height",179
"Male","weight",92.3
"Male","bmi",28.8
"Male","height",169
"Male","weight",73.5
"Male","bmi",25.7
"Male","height",172
"Male","weight",87
"Male","bmi",29.4
"Male","height",192
"Male","weight",106.7
"Male","bmi",28.9
"Male","height",156
"Male","weight",61.5
"Male","bmi",25.3
"Male","height",151
"Male","weight",61.9
"Male","bmi",27.1
"Male","height",169
"Male","weight",84.4
"Male","bmi",29.6
"Male","height",181
"Male","weight",89.8
"Male","bmi",27.4
"Male","height",177
"Male","weight",87.3
"Male","bmi",27.9
"Male","height",171
"Male","weight",82.8
"Male","bmi",28.3
"Male","height",187
"Male","weight",102.2
"Male","bmi",29.2
"Male","height",179
"Male","weight",85.1
"Male","bmi",26.6
"Male","height",165
"Male","weight",62.9
"Male","bmi",23.1
"Male","height",174
"Male","weight",80
"Male","bmi",26.4
"Male","height",165
"Male","weight",71.5
"Male","bmi",26.3
"Male","height",181
"Male","weight",87.2
"Male","bmi",26.6
"Male","height",160
"Male","weight",69.6
"Male","bmi",27.2
"Male","height",167
"Male","weight",69.4
"Male","bmi",24.9
"Male","height",185
"Male","weight",91.9
"Male","bmi",26.9
"Male","height",168
"Male","weight",77.5
"Male","bmi",27.5
"Male","height",179
"Male","weight",93.5
"Male","bmi",29.2
"Male","height",165
"Male","weight",60.6
"Male","bmi",22.3
"Male","height",167
"Male","weight",79.2
"Male","bmi",28.4
"Male","height",164
"Male","weight",69.5
"Male","bmi",25.8
"Male","height",170
"Male","weight",78.8
"Male","bmi",27.3
"Male","height",178
"Male","weight",89
"Male","bmi",28.1
"Male","height",165
"Male","weight",67.6
"Male","bmi",24.8
"Male","height",171
"Male","weight",82.4
"Male","bmi",28.2
"Male","height",183
"Male","weight",86.6
"Male","bmi",25.9
"Male","height",174
"Male","weight",87.2
"Male","bmi",28.8
"Male","height",180
"Male","weight",91.6
"Male","bmi",28.3
"Male","height",164
"Male","weight",72.9
"Male","bmi",27.1
"Male","height",175
"Male","weight",79.1
"Male","bmi",25.8
"Male","height",170
"Male","weight",78.8
"Male","bmi",27.3
"Male","height",171
"Male","weight",80.7
"Male","bmi",27.6
"Male","height",177
"Male","weight",90.7
"Male","bmi",29
"Male","height",175
"Male","weight",82
"Male","bmi",26.8
"Male","height",178
"Male","weight",85.9
"Male","bmi",27.1
"Male","height",158
"Male","weight",67.8
"Male","bmi",27.2
"Male","height",179
"Male","weight",83.9
"Male","bmi",26.2
"Male","height",162
"Male","weight",63.2
"Male","bmi",24.1
"Male","height",187
"Male","weight",90.7
"Male","bmi",25.9
"Male","height",182
"Male","weight",90.3
"Male","bmi",27.3
"Male","height",178
"Male","weight",82.9
"Male","bmi",26.2
"Male","height",169
"Male","weight",70.7
"Male","bmi",24.8
"Male","height",180
"Male","weight",89.7
"Male","bmi",27.7
"Male","height",173
"Male","weight",87.6
"Male","bmi",29.3
"Male","height",175
"Male","weight",80.9
"Male","bmi",26.4
"Male","height",181
"Male","weight",87.9
"Male","bmi",26.8
"Male","height",175
"Male","weight",80.9
"Male","bmi",26.4
"Male","height",181
"Male","weight",83.7
"Male","bmi",25.5
"Male","height",189
"Male","weight",94.9
"Male","bmi",26.6
"Male","height",176
"Male","weight",81.2
"Male","bmi",26.2
"Male","height",181
"Male","weight",93.5
"Male","bmi",28.5
"Male","height",182
"Male","weight",93.4
"Male","bmi",28.2
"Male","height",182
"Male","weight",90.9
"Male","bmi",27.4
"Male","height",179
"Male","weight",88.1
"Male","bmi",27.5
"Male","height",169
"Male","weight",75.3
"Male","bmi",26.4
"Male","height",189
"Male","weight",91.6
"Male","bmi",25.6
"Male","height",183
"Male","weight",93.5
"Male","bmi",27.9
"Male","height",186
"Male","weight",94
"Male","bmi",27.2
"Male","height",177
"Male","weight",82.2
"Male","bmi",26.2
"Male","height",185
"Male","weight",100.6
"Male","bmi",29.4
"Male","height",167
"Male","weight",72.7
"Male","bmi",26.1
"Male","height",173
"Male","weight",79.4
"Male","bmi",26.5
"Male","height",178
"Male","weight",87.5
"Male","bmi",27.6
"Male","height",180
"Male","weight",96.9
"Male","bmi",29.9
"Male","height",168
"Male","weight",81.5
"Male","bmi",28.9
"Male","height",169
"Male","weight",70.1
"Male","bmi",24.5
"Male","height",189
"Male","weight",98.2
"Male","bmi",27.5
"Male","height",162
"Male","weight",73.6
"Male","bmi",28
"Male","height",178
"Male","weight",84.8
"Male","bmi",26.8
"Male","height",193
"Male","weight",103.1
"Male","bmi",27.7
"Male","height",174
"Male","weight",84.1
"Male","bmi",27.8
"Male","height",180
"Male","weight",94.1
"Male","bmi",29
"Male","height",173
"Male","weight",83.9
"Male","bmi",28
"Male","height",184
"Male","weight",97.8
"Male","bmi",28.9
"Male","height",171
"Male","weight",71.9
"Male","bmi",24.6
"Male","height",176
"Male","weight",88.2
"Male","bmi",28.5
"Male","height",174
"Male","weight",83
"Male","bmi",27.4
"Male","height",174
"Male","weight",89
"Male","bmi",29.4
"Male","height",175
"Male","weight",81.8
"Male","bmi",26.7
"Male","height",179
"Male","weight",84.1
"Male","bmi",26.2
"Male","height",165
"Male","weight",77.4
"Male","bmi",28.4
"Male","height",185
"Male","weight",93.1
"Male","bmi",27.2
"Male","height",175
"Male","weight",82.8
"Male","bmi",27
"Male","height",175
"Male","weight",90.7
"Male","bmi",29.6
"Male","height",191
"Male","weight",100.4
"Male","bmi",27.5
"Male","height",160
"Male","weight",54.1
"Male","bmi",21.1
"Male","height",164
"Male","weight",77
"Male","bmi",28.6
"Male","height",176
"Male","weight",82.5
"Male","bmi",26.6
"Male","height",170
"Male","weight",80.9
"Male","bmi",28
"Male","height",164
"Male","weight",80.2
"Male","bmi",29.8
"Male","height",178
"Male","weight",87.9
"Male","bmi",27.7
"Male","height",171
"Male","weight",70.2
"Male","bmi",24
"Male","height",172
"Male","weight",76
"Male","bmi",25.7
"Male","height",178
"Male","weight",90.1
"Male","bmi",28.4
"Male","height",171
"Male","weight",90.3
"Male","bmi",30.9
"Male","height",172
"Male","weight",79.5
"Male","bmi",26.9
"Male","height",181
"Male","weight",89
"Male","bmi",27.2
"Male","height",180
"Male","weight",86.7
"Male","bmi",26.8
"Male","height",170
"Male","weight",78.6
"Male","bmi",27.2
"Male","height",169
"Male","weight",78.4
"Male","bmi",27.5
"Male","height",187
"Male","weight",95.4
"Male","bmi",27.3
"Male","height",176
"Male","weight",83.4
"Male","bmi",26.9
"Male","height",175
"Male","weight",78.9
"Male","bmi",25.8
"Male","height",182
"Male","weight",94
"Male","bmi",28.4
"Male","height",186
"Male","weight",94.2
"Male","bmi",27.2
"Male","height",177
"Male","weight",85
"Male","bmi",27.1
"Male","height",171
"Male","weight",86.3
"Male","bmi",29.5
"Male","height",175
"Male","weight",90.1
"Male","bmi",29.4
"Male","height",185
"Male","weight",100.2
"Male","bmi",29.3
"Male","height",180
"Male","weight",91.7
"Male","bmi",28.3
"Male","height",175
"Male","weight",82.3
"Male","bmi",26.9
"Male","height",179
"Male","weight",91
"Male","bmi",28.4
"Male","height",175
"Male","weight",86.6
"Male","bmi",28.3
"Male","height",169
"Male","weight",73.9
"Male","bmi",25.9
"Male","height",175
"Male","weight",80.3
"Male","bmi",26.2
"Male","height",174
"Male","weight",81.8
"Male","bmi",27
"Male","height",189
"Male","weight",105.3
"Male","bmi",29.5
"Male","height",175
"Male","weight",90.2
"Male","bmi",29.5
"Male","height",186
"Male","weight",94.4
"Male","bmi",27.3
"Male","height",178
"Male","weight",84.2
"Male","bmi",26.6
"Male","height",189
"Male","weight",95.3
"Male","bmi",26.7
"Male","height",172
"Male","weight",89.3
